127.0.0.1 - - [08/Sep/2018:16:40:05 -0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [08/Sep/2018:16:40:07 -0700] "GET /Checkerboard/checkerboard.jsp HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [08/Sep/2018:16:40:07 -0700] "GET /Checkerboard/style.css HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [08/Sep/2018:16:40:34 -0700] "GET /Checkerboard/checkerboard.jsp?width=5&height=10 HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [08/Sep/2018:16:40:35 -0700] "GET /Checkerboard/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:16:40:39 -0700] "GET /Checkerboard/checkerboard.jsp?width=5&height=10 HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [08/Sep/2018:16:40:39 -0700] "GET /Checkerboard/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:16:40:41 -0700] "GET /Checkerboard/checkerboard.jsp?width=5&height=10 HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [08/Sep/2018:16:40:41 -0700] "GET /Checkerboard/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:16:40:41 -0700] "GET /Checkerboard/checkerboard.jsp?width=5&height=10 HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [08/Sep/2018:16:40:41 -0700] "GET /Checkerboard/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:16:40:42 -0700] "GET /Checkerboard/checkerboard.jsp?width=5&height=10 HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [08/Sep/2018:16:40:42 -0700] "GET /Checkerboard/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:16:40:43 -0700] "GET /Checkerboard/checkerboard.jsp?width=5&height=10 HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [08/Sep/2018:16:40:43 -0700] "GET /Checkerboard/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:16:41:59 -0700] "GET /Checkerboard/checkerboard.jsp?width=5&height=10 HTTP/1.1" 500 3199
